iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
133434,slr,2451465.539134018,NA,NA,NA,NA,NA
133434,sst,2451465.539134018,2322541.4149667295,2238243.8982247007,2177913.6221302147,663.6705892896748,406.06160800402074
133435,art_fish,2507158.8535944903,1683690.36193923,908021.8709295563,3036.2929371043,12180.975025107256,75.09956458619926
133435,cum_all,2507158.8535944903,2506135.4036917603,2387161.971942063,2170291.8893102445,105.66334336119763,105.66334336119763
133435,cum_climate,2507158.8535944903,2500145.7766455426,2463462.2582333786,2249868.6124587045,316.9900300835929,316.9900300835929
133435,cum_fishing,2507158.8535944903,1683690.36193923,908021.8709295563,3036.2929371043,12180.975025107256,75.09956458619926
133435,cum_land-based,2507158.8535944903,373942.5725108217,44065.107196466546,0,6643.691890116823,0
133435,cum_ocean,2507158.8535944903,1716931.5256736332,1247186.3578529633,320265.5937687272,54138.92807938229,5663.904510949025
133435,dem_dest,2507158.8535944903,NA,NA,NA,NA,NA
133435,dem_nondest_hb,2507158.8535944903,NA,NA,NA,NA,NA
133435,dem_nondest_lb,2507158.8535944903,NA,NA,NA,NA,NA
133435,direct_human,2507158.8535944903,373942.5725108217,44065.107196466546,0,6643.691890116823,0
133435,light,2507158.8535944903,NA,NA,NA,NA,NA
133435,nutrient,2507158.8535944903,NA,NA,NA,NA,NA
133435,oa,2507158.8535944903,2369372.107308885,2137081.2893275544,177369.4572303157,0,0
133435,organic,2507158.8535944903,NA,NA,NA,NA,NA
133435,pel_hb,2507158.8535944903,NA,NA,NA,NA,NA
133435,pel_lb,2507158.8535944903,NA,NA,NA,NA,NA
133435,shipping,2507158.8535944903,1716931.5256736332,1247186.3578529633,320265.5937687272,54138.92807938229,5663.904510949025
133435,slr,2507158.8535944903,NA,NA,NA,NA,NA
133435,sst,2507158.8535944903,2391076.755283194,2298349.748831781,2235006.757581746,418.2871220332305,418.2871220332305
133438,art_fish,6235547.558795391,2567594.793024465,1066488.9419690892,2948.967858488891,305570.5297851027,27582.498874588542
